,0
875,HDAC11
876,FBLN2
877,XPC
878,SLC6A6
879,GRIP2
880,C3orf20
881,BTD
882,GALNT15
883,OXNAD1
884,TBC1D5
885,KCNH8
886,VENTXP7
887,THRB
888,NGLY1
889,DYNC1LI1
890,CNOT10
891,CLASP2
892,ARPP21
893,DCLK3
894,TRANK1
895,MLH1
896,CTDSPL
897,ACAA1
898,SLC22A14
899,ACVR2B
900,SCN5A
901,SCN10A
902,SCN11A
903,GORASP1
904,TTC21A
905,XIRP1
906,CX3CR1
907,SLC25A38
908,MYRIP
909,ENTPD3
910,RPL14
911,ZNF620
912,TRAK1
913,SEC22C
914,NKTR
915,ZBTB47
916,FAM198A
917,ANO10
918,ABHD5
919,ZNF35
920,KIF15
921,ZDHHC3
922,CLEC3B
923,CDCP1
924,FYCO1
925,LTF
926,ALS2CL
927,PRSS50
928,PRSS46
929,NBEAL2
930,SETD2
931,PTPN23
932,SCAP
933,MAP4
934,ZNF589
935,NME6
936,PLXNB1
937,SHISA5
938,PFKFB4
939,COL7A1
940,UQCRC1
941,SLC26A6
942,CELSR3
943,ARIH2
944,WDR6
945,DALRD3
946,QRICH1
947,QARS
948,USP19
949,LAMB2
950,CCDC71
951,BSN
952,RNF123
953,CDHR4
954,UBA7
955,TRAIP
956,CAMKV
957,MST1R
958,SEMA3B
959,IFRD2
960,HEMK1
961,VPRBP
962,LOC102723610
963,RAD54L2
964,IQCF2
965,PARP3
966,GPR62
967,LOC101929702
968,DUSP7
969,ALAS1
970,PPM1M
971,DNAH1
972,BAP1
973,SEMA3G
974,TNNC1
975,NISCH
976,STAB1
977,PBRM1
978,ITIH1
979,ITIH3
980,ITIH4
981,SFMBT1
982,RFT1
983,PRKCD
984,CACNA1D
985,LRTM1
986,CCDC66
987,ARHGEF3
988,HESX1
989,DENND6A
990,FLNB
991,FAM107A
992,PTPRG
993,FEZF2
994,CADPS
995,ATXN7
996,PRICKLE2
997,MAGI1
998,LRIG1
999,FAM19A4
1000,TMF1
1001,FAM86DP
1002,LOC100996350
1003,ROBO2
1004,ROBO1
1005,CADM2
1006,LOC101930420
1007,NIT2
1008,TOMM70A
1009,ABI3BP
1010,IMPG2
1011,NXPE3
1012,NFKBIZ
1013,CBLB
1014,MYH15
1015,ZBED2
1016,PHLDB2
1017,GTPBP8
1018,BOC
1019,WDR52
1020,SIDT1
1021,KIAA2018
1022,ATP6V1A
1023,DRD3
1024,ZBTB20
1025,GAP43
1026,C3orf30
1027,B4GALT4
1028,ARHGAP31
1029,POPDC2
1030,NR1I2
1031,GOLGB1
1032,CASR
1033,KPNA1
1034,PARP15
1035,SEMA5B
1036,ADCY5
1037,ITGB5
1038,HEG1
1039,SLC12A8
1040,OSBPL11
1041,SLC41A3
1042,ALDH1L1
1043,ALDH1L1-AS2
1044,UROC1
1045,TXNRD3
1046,CHCHD6
1047,PLXNA1
1048,C3orf56
1049,TPRA1
1050,MCM2
1051,SEC61A1
1052,EEFSEC
1053,DNAJB8
1054,GATA2
1055,ACAD9
1056,GP9
1057,RAB43
1058,COPG1
1059,EFCAB12
1060,RHO
1061,H1FOO
1062,PLXND1
1063,TMCC1
1064,FAM86HP
1065,COL6A6
1066,PIK3R4
1067,MRPL3
1068,TF
1069,SLCO2A1
1070,CEP63
1071,KY
1072,EPHB1
1073,STAG1
1074,PIK3CB
1075,GRK7
1076,XRN1
1077,ATR
1078,U2SURP
1079,ZIC4
1080,CPA3
1081,GYG1
1082,TM4SF1
1083,TSC22D2
1084,SERP1
1085,GPR171
1086,P2RY13
1087,IGSF10
1088,ARHGEF26
